-2.35e-04-9.84e-05j,-4.81e-05-2.84e-05j,-2.22e-03+4.98e-04j,2.58e-05-3.35e-05j,-2.23e-04+6.66e-05j,-3.48e-05-3.84e-05j,-1.87e-05-1.74e-05j,1.31e-06+0.00e+00j
-9.89e-05-4.85e-05j,9.60e-05-4.32e-05j,5.94e-05+3.73e-05j,4.51e-05-2.78e-05j,-3.00e-05-1.77e-05j,2.80e-05-1.81e-06j,3.37e-05-8.81e-05j,1.31e-06+0.00e+00j
7.41e-05-3.12e-05j,5.37e-05-3.71e-05j,-1.55e-04-6.62e-05j,-1.71e-04-2.42e-05j,1.32e-04-1.22e-04j,-7.92e-04-6.56e-05j,1.03e-04+8.87e-05j,1.31e-06+0.00e+00j
3.38e-05-1.58e-06j,-1.63e-06+4.10e-05j,2.18e-05+3.42e-05j,-1.11e-04+8.37e-05j,-1.05e-04-2.32e-04j,5.61e-04+5.34e-05j,8.78e-05+9.06e-06j,1.31e-06+0.00e+00j
3.06e-04-6.96e-05j,-9.34e-05-1.04e-03j,-2.57e-05-5.82e-05j,-2.19e-05+6.37e-05j,-2.38e-05-2.28e-05j,-1.90e-06+3.29e-05j,2.60e-05-3.17e-05j,1.31e-06+0.00e+00j
-4.56e-05-1.15e-03j,1.22e-04+6.91e-05j,-2.55e-05-6.87e-05j,-2.23e-05+3.65e-05j,-2.55e-05-1.46e-05j,-5.87e-05+1.73e-05j,-1.07e-04-6.58e-05j,1.31e-06+0.00e+00j
-2.23e-04+1.57e-04j,8.72e-05+3.27e-05j,5.83e-05-5.99e-05j,5.23e-05+1.01e-04j,-4.61e-05+1.87e-05j,-5.15e-05+5.99e-05j,-4.49e-05+1.09e-04j,1.31e-06+0.00e+00j
1.46e-05-1.56e-05j,1.85e-05-1.53e-05j,1.92e-04-7.41e-05j,2.09e-05-1.35e-04j,9.25e-04-3.69e-04j,-1.98e-05+2.19e-05j,-6.19e-05+1.03e-04j,1.31e-06+0.00e+00j
-8.19e-05-3.77e-05j,-2.81e-05+2.79e-05j,1.61e-05-8.34e-05j,-7.37e-05-4.86e-05j,1.44e-04-7.05e-05j,6.69e-04+1.76e-04j,-1.60e-04+3.09e-05j,1.31e-06+0.00e+00j
3.21e-05+3.57e-05j,-6.63e-05+2.28e-05j,1.58e-05+9.59e-06j,7.88e-05+2.51e-05j,3.56e-06+8.73e-05j,-1.96e-04-7.84e-05j,-3.94e-05+5.21e-05j,1.31e-06+0.00e+00j
-2.05e-05-1.42e-04j,-9.63e-06+2.17e-05j,-1.98e-05-4.71e-05j,-4.82e-05+1.13e-06j,1.94e-05+9.45e-05j,-3.52e-04+4.80e-05j,-1.64e-05+5.99e-05j,1.31e-06+0.00e+00j
1.10e-04+1.06e-04j,-1.83e-04+1.85e-04j,-1.37e-05+3.62e-05j,4.13e-05-1.25e-05j,-5.20e-05-1.67e-07j,2.69e-05-1.19e-05j,-4.28e-05+7.06e-05j,1.31e-06+0.00e+00j
8.23e-05+2.08e-04j,7.23e-06-3.81e-05j,1.44e-04+2.36e-05j,-1.70e-05+6.61e-05j,-3.74e-05-2.16e-06j,5.10e-05-3.73e-05j,-1.61e-04+8.97e-06j,1.31e-06+0.00e+00j
4.82e-06-4.69e-04j,-2.01e-04+1.14e-04j,-8.48e-05-4.69e-05j,3.98e-04-9.28e-05j,-2.25e-06+4.42e-05j,1.15e-05-8.04e-05j,-1.21e-04+1.32e-04j,1.31e-06+0.00e+00j
-8.39e-05-5.53e-05j,1.88e-05-4.99e-05j,1.36e-05+3.91e-05j,1.85e-05+2.12e-05j,1.98e-07+5.61e-05j,1.06e-05-4.23e-06j,3.08e-05-8.17e-06j,1.31e-06+0.00e+00j
-4.07e-04-3.29e-04j,1.21e-05-1.09e-04j,4.12e-05-3.87e-05j,2.92e-05-2.22e-05j,-1.04e-05-4.99e-05j,-2.22e-05+4.58e-05j,-7.59e-05-9.62e-05j,1.31e-06+0.00e+00j
-1.05e-05-2.24e-04j,6.37e-05-6.69e-05j,-1.79e-04-5.54e-05j,-3.31e-04-5.76e-04j,-9.05e-05+8.72e-05j,1.70e-04-2.99e-05j,-3.75e-05+1.72e-06j,1.31e-06+0.00e+00j
-3.38e-05+4.39e-05j,-1.47e-05+1.94e-05j,2.70e-05+5.94e-05j,-8.37e-05-2.37e-04j,-1.45e-04-2.61e-05j,5.05e-05+6.19e-05j,2.97e-05-1.71e-04j,1.31e-06+0.00e+00j
-1.52e-05-9.50e-05j,-1.11e-04+5.15e-05j,1.54e-05-2.10e-05j,3.56e-05+8.78e-05j,-1.48e-05+2.54e-05j,-1.01e-05-5.60e-05j,-6.29e-05+2.75e-05j,1.31e-06+0.00e+00j
-1.22e-05+8.22e-05j,-2.19e-04+2.09e-05j,1.60e-05-3.74e-05j,-6.40e-05+5.96e-05j,6.34e-06+1.69e-05j,-5.06e-05+1.95e-05j,-3.99e-05+4.84e-05j,1.31e-06+0.00e+00j
