case,satellite_gain_dbi,user_gain_dbi,user_index,satellite_index,legacy_formula_rate_bps,standard_friis_rate_bps,legacy_formula_snr_db,standard_friis_snr_db
sat60_user50,60.0,50.0,55,1,3017660.19057866,14986431.399667896,15.00504937377762,75.18942285620166
sat60_user50,60.0,50.0,56,0,4005325.3413348254,15995466.54483911,20.052689320040955,80.25192036962265
sat60_user50,60.0,50.0,56,1,3181295.4667074666,15154695.509522673,15.849598812996284,76.03363195042778
sat60_user50,60.0,50.0,57,0,4584585.593048254,16575596.419008521,22.979816881130102,83.16252861473386
sat60_user50,60.0,50.0,57,1,4081933.181635885,16069852.789390044,20.44067611355867,80.62512855424112
sat60_user50,60.0,50.0,58,0,4558679.140647595,16553238.726326434,22.84917548831455,83.05035634533284
sat60_user50,60.0,50.0,58,1,4112254.936156368,16098516.07510876,20.594155903883614,80.76893703505968
sat60_user50,60.0,50.0,59,0,4266538.904651518,16258204.624566114,21.37440338815797,81.57012109703433
sat60_user50,60.0,50.0,59,1,945984.694913992,12586280.337979037,2.9726709600911825,63.14746315549602
sat60_user50,60.0,50.0,60,0,2585067.3175103497,14537580.68324085,12.744802764331036,72.9374639465264
sat60_user50,60.0,50.0,60,1,4194729.312318533,16183953.969032932,21.011384431337063,81.19759318577137
sat60_user50,60.0,50.0,61,0,2903271.374119563,14868972.89016817,14.411718491869472,74.60011392700436
sat60_user50,60.0,50.0,61,1,1090319.2211866798,12797157.251065485,4.020829526794226,64.20546821426187
sat60_user50,60.0,50.0,62,0,2926571.588082221,14890322.249278378,14.532794060773917,74.70722722201242
sat60_user50,60.0,50.0,62,1,4092611.305210637,16080591.379222967,20.494731083618394,80.67900584888547
sat60_user50,60.0,50.0,63,0,4351808.552354707,16343408.482222881,21.805183315879795,81.99760304821986
sat60_user50,60.0,50.0,63,1,3935747.0269807647,15922220.782124767,19.700010680439398,79.88443417213222
sat60_user50,60.0,50.0,64,0,3087886.4439711254,15057124.369645847,15.36806250220584,75.54410127394442
sat60_user50,60.0,50.0,64,1,2758621.278924876,14720826.087648349,13.6572882088848,73.85683671022656
sat60_user50,60.0,50.0,65,0,3586945.5560982144,15568633.71815073,17.926861545323888,78.11042894404751
sat60_user50,60.0,50.0,65,1,3608528.6504566614,15589433.436676921,18.036870968058285,78.21478459860322
sat60_user50,60.0,50.0,66,0,3054696.6204186585,15023358.809526207,15.196608976885788,75.37469382885126
sat60_user50,60.0,50.0,66,1,3151778.9961962476,15125768.452540409,15.697590679837834,75.88850008278354
sat60_user50,60.0,50.0,67,0,2826470.548773488,14792550.166094854,14.011781197544702,74.21668837483173
sat60_user50,60.0,50.0,67,1,4261929.186235424,16249485.53062415,21.351106674108284,81.526375949869
sat60_user50,60.0,50.0,68,0,3508142.5693119615,15486960.869901668,17.524817050607925,77.70066265150322
sat60_user50,60.0,50.0,68,1,2742843.5674477415,14700198.808069997,13.574686017567883,73.75334620788347
sat60_user50,60.0,50.0,69,0,4114497.9145577257,16101458.972614339,20.6055073170031,80.7837020422389
sat60_user50,60.0,50.0,69,1,3101255.9902078523,15074970.840695938,15.437073147445055,75.63363999479733
sat60_user50,60.0,50.0,70,0,2945115.523425996,14916483.224690009,14.629072300458336,74.83848119829821
sat60_user50,60.0,50.0,70,1,3894715.776117862,15879208.027470285,19.491890525332067,79.66863201407443
sat60_user50,60.0,50.0,71,0,3062919.2021465166,15032603.544506017,15.23910378476563,75.42107620570438
sat60_user50,60.0,50.0,71,1,3850491.2001912235,15834021.81936881,19.267448681383165,79.44192527774831
sat60_user50,60.0,50.0,72,0,4435075.357849667,16427313.013898827,22.225574355135844,82.418566064196
sat60_user50,60.0,50.0,72,1,5137211.8508136785,17131500.758095954,25.762741411788443,85.95159330442067
sat60_user50,60.0,50.0,73,0,3752698.7143654823,15736134.660676315,18.77065444817752,78.95080908922303
sat60_user50,60.0,50.0,73,1,2979092.7618584586,14944280.443750173,14.80529558320747,74.9779444816887
sat60_user50,60.0,50.0,74,0,4794260.232254114,16785996.289257504,24.036491125758378,84.21813981973726
